id,label,type,name,source,source_id,uri,modifiers
37d0ef7c-cdba-4aab-af67-46dc59e9b66b,KeyEvent,key-event,"Thromboinflammation, Increased",AOPWiki,,,[]
37db1c3f-888d-4e4f-a980-174472a3333b,Taxon,taxonomy,Arabidopsis thaliana,common ecological species,WCS_3702,,[]
37f31517-5b8b-4a60-9f41-6240836c98b0,BiologicalTerm,biological-process,glucocorticoid receptor activity,GO,GO:0004883,,[]
37f51cbd-fa09-4b23-8c42-a6249b6ce950,AOP,aop,Calcium overload driven development of parkinsonian motor deficits,AOPWiki,,,[]
37fb0baf-25a3-4eba-bed6-2248cf85fd21,Taxon,taxonomy,Golden hamsters,NCBI,10036,,[]
38391a3d-7bb1-4c6f-8273-dc1577b87cb2,KeyEvent,key-event,Neurological disorder,AOPWiki,,,[]
383fc27c-8034-4e68-8f7b-f688b3a4ddfd,KeyEvent,key-event,"Decreased, PPARalpha transactivation of gene expression",AOPWiki,,,[]
38512a9d-520c-458e-aa05-d9a107b7310c,Stressor,stressor,Polychlorinated biphenyl,,,,"[""stressor""]"
3864083f-c954-41cf-ab18-8d7b078a7461,Chemical,chemical,Benzo(a)pyrene,DSSTox,DTXSID2020139,,"[""stressor""]"
386d4150-d8a3-45c8-abed-aaa5ca8eb9ed,Stressor,stressor,"3,3′,5,5′ tetrabromobisphenol A",,,,"[""stressor""]"
38846d3a-1f13-4187-9980-1d9376ae432b,Chemical,chemical,Acetone,DSSTox,DTXSID8021482,,"[""stressor""]"
38b6366d-e792-4b60-89b7-202b36117c69,BiologicalTerm,biological-process,steroid hormone receptor activity,GO,GO:0003707,,[]
38c3916a-3340-404e-862b-95531583e23f,KeyEvent,key-event,"Oxidation, Uroporphyrinogen",AOPWiki,,,[]
38c4c972-468d-4835-b0eb-837583f40379,AOP,aop,unknown MIE renal failure,AOPWiki,,,[]
38d6104d-2ff7-41bc-8a80-467ced3ca7a1,AOP,aop,NADPH oxidase activation leading to reproductive failure,AOPWiki,,,[]
38e32462-1927-4700-9296-438ae60c33ba,AOP,aop,Metabolic Syndrome leading to TLR dysregulation,AOPWiki,,,[]
38eaa6ad-44ab-4bdf-8461-fd047624bfdc,BiologicalTerm,biological-process,ketosis,MESH,D007662,,[]
38ee5762-ae3c-428d-9123-97e9afc3f146,KeyEvent,key-event,IAV production increased,AOPWiki,,,[]
38f454b3-db3e-4805-8351-c475e6c6cd83,KeyEvent,key-event,"Formation, Mallory body",AOPWiki,,,[]
38f91073-d07d-434d-9ce5-af0ed9da85b9,BiologicalTerm,biological-process,neuropeptide hormone activity,GO,GO:0005184,,[]
38fc1392-86e7-4788-97d3-62879c8de069,BiologicalTerm,biological-object,juvenile hormone,CHEBI,CHEBI:24943,,[]
39016f79-6ced-4bd9-aa1b-116dae8e4656,AOP,aop,Cox1 inhibition renal failure,AOPWiki,,,[]
3901966e-114f-4b5f-ad45-b51432e183c8,KeyEvent,key-event,"Disrupted, meiotic initiation in oocyte",AOPWiki,,,[]
39049488-569f-44bb-86df-2781650f729e,AOP,aop,Frustrated phagocytosis leads to malignant mesothelioma,AOPWiki,,,[]
39231508-845a-4cbd-b5a8-57c4b82a1295,BiologicalTerm,biological-object,epididymis,UBERON,UBERON:0001301,,[]
3926cddf-5e00-4f04-9e39-9d2f3dc845b5,KeyEvent,key-event,"Decreased, sodium uptake in gills",AOPWiki,,,[]
392e7c87-ab2f-499b-a3dd-9c8e16aafa1f,AOP,aop,Chitobiase inhibition leading to mortality,AOPWiki,,,[]
3943c506-a709-4a7f-a965-fd10cb214144,KeyEvent,key-event,"Inhibition, Bile Salt Export Pump (ABCB11)",AOPWiki,,,[]
3943f54a-f8ac-482b-9097-73f2f4a041cc,Chemical,chemical,Cyfluthrin,DSSTox,DTXSID5035957,,"[""stressor""]"
3979cc5e-2634-4813-9ace-c92aa98dcf00,BiologicalTerm,biological-process,reactive oxygen species biosynthetic process,GO,GO:1903409,,[]
397e585c-00b3-4d4a-8f14-bac4275fea7a,BiologicalTerm,biological-process,inhibitory postsynaptic potential,GO,GO:0060080,,[]
397fdb58-f699-4eba-b7af-902a720bcd55,KeyEvent,key-event,Inhibition of JAK3,AOPWiki,,,[]
